key,ar,en,fr,ge,ja,ko,po,sp,tu,ta
Popup.DungeonEnd.DefeatTitle,الهزيمة,Defeat,Défaite,Niederlage,敗北,패배,Derrota,Derrota,Yenilgi,Sconfitta
Popup.DungeonEnd.SuccessTitle,تم الإكمال,Completed,Terminé,Abgeschlossen,クリア,완료,Concluído,Completado,Tamamlandı,Completato
Popup.Enchantment.Buff,قوة الأثر +{0}%,Relic Power +{0}%,Puissance de relique +{0}%,Reliktkraft +{0}%,レリックパワー +{0}%,유물 위력 +{0}%,Poder de relíquia +{0}%,Poder de reliquia +{0}%,Relik Gücü +{0}%,Potere reliquia +{0}%
Popup.Enchantment.Dismantle,تفكيك,Dismantle,Démanteler,Zerlegen,分解,분해,Desmontar,Desmantelar,Parçala,Smonta
Popup.Enchantment.Equip,تجهيز,Equip,Équiper,Ausrüsten,装備,장착,Equipar,Equipar,Kuşan,Equipaggia
Popup.Enchantment.Merge,دمج,Merge,Fusionner,Kombinieren,合成,합치기,Combinar,Combinar,Birleştir,Unisci
Popup.Enchantment.MergeAll,دمج الكل,Merge All,Tout fusionner,Alle kombinieren,すべて合成,모두 합치기,Combinar tudo,Combinar todo,Hepsini Birleştir,Unisci tutto
Popup.Enchantment.MergeTitle,دمج,Merge,Fusionner,Kombinieren,合成,합치기,Combinar,Combinar,Birleştir,Unisci
Popup.Enchantment.QuickEquip,تجهيز سريع,Quick Equip,Équipement rapide,Schnell ausrüsten,クイック装備,빠른 장착,Equipar rápido,Equipar rápido,Hızlı Kuşan,Equip. rapido
Popup.Enchantment.Tier,أثر +{0},Relic +{0},Relique +{0},Relikt +{0},レリック +{0},유물 +{0},Relíquia +{0},Reliquia +{0},Relik +{0},Reliquia +{0}
Popup.Enchantment.TierRatesTitle,فرص الرتبة,Tier Chances,Chances de palier,Stufen-Chancen,ティア確率,등급 확률,Chances de tier,Probabilidades de nivel,Tier Şansları,Probabilità livello
Popup.Enchantment.Title,تعويذة,Enchantment,Enchantement,Verzauberung,エンチャント,마법 부여,Encantamento,Encantamiento,Büyü,Incantesimo
Popup.Enchantment.Unequip,إلغاء التجهيز,Unequip,Déséquiper,Ablegen,装備解除,장착 해제,Desequipar,Desequipar,Çıkar,Rimuovi
Popup.ForceUpdate.Title,أضفنا ميزات جديدة وأصلحنا بعض الأخطاء. حدّث الآن وعد إلى الإثارة!,We have added new features and fixed some bugs. Update now to jump back into the action!,On a ajouté de nouvelles fonctionnalités et corrigé des bugs. Mets à jour pour replonger dans l'action !,Wir haben neue Funktionen hinzugefügt und Fehler behoben. Aktualisiere jetzt und kehre ins Spiel zurück!,新機能の追加とバグ修正を行いました。今すぐ更新してゲームに戻りましょう!,새로운 기능을 추가하고 버그를 수정했습니다. 지금 업데이트하고 다시 즐기세요!,Adicionamos novos recursos e corrigimos bugs. Atualize agora e volte para a ação!,Hemos añadido nuevas funciones y corregido errores. ¡Actualiza ahora y vuelve a la acción!,Yeni özellikler ekledik ve bazı hataları düzelttik. Hemen güncelle ve oyuna geri dön!,Abbiamo aggiunto nuove funzionalità e corretto bug. Aggiorna ora e torna all'azione!
Popup.ForceUpdate.UpdateButton,تحديث,Update,Mettre à jour,Aktualisieren,更新,업데이트,Atualizar,Actualizar,Güncelle,Aggiorna
Popup.GameSpeed.Description,"زِد سرعة اللعبة واكسب الغنائم بسرعة لمدة محدودة.
يزيد أيضاً من سرعة وضع الزنزانة!","Boost your game speed and earn loot faster for a limited time. 
Also increases dungeon mode speed!","Boost ta vitesse de jeu et gagne du butin plus vite pour une durée limitée.
Augmente aussi la vitesse du mode donjon !","Erhöhe deine Spielgeschwindigkeit und sammle Beute schneller für begrenzte Zeit.
Erhöht auch die Geschwindigkeit im Verlies-Modus!","一定時間ゲームスピードを上げてアイテムを早く獲得。
ダンジョンモードのスピードもアップ!","제한 시간 동안 게임 속도를 높여 더 빠르게 전리품을 획득하세요.
던전 모드 속도도 증가합니다!","Aumente a velocidade do jogo e ganhe loot mais rápido por tempo limitado.
Também aumenta a velocidade do modo masmorra!","Aumenta la velocidad del juego y consigue botín más rápido por tiempo limitado.
¡También aumenta la velocidad del modo mazmorra!","Sınırlı bir süre için oyun hızını artır ve daha hızlı ganimet kazan.
Ayrıca zindan modu hızını da artırır!","Aumenta la velocità di gioco e ottieni bottino più veloce per un tempo limitato.
Aumenta anche la velocità della modalità dungeon!"
Popup.GameSpeed.NotActive,غير مفعّل,Not Active,Inactif,Inaktiv,未使用,비활성,Inativo,Inactivo,Aktif Değil,Non Attivo
Popup.GameSpeed.Title,سرعة اللعبة,Game Speed,Vitesse de Jeu,Spielgeschwindigkeit,ゲームスピード,게임 속도,Velocidade do Jogo,Velocidad de Juego,Oyun Hızı,Velocità di Gioco
Popup.Language.Title,اختر اللغة,Select Language,Choisir la Langue,Sprache wählen,言語を選択,언어 선택,Selecionar Idioma,Seleccionar Idioma,Dil Seç,Seleziona Lingua
Popup.Level.Complete,أكمل!,Complete!,Terminé !,Fertig!,クリア!,완료!,Concluir!,¡Completar!,Tamamla!,Completa!
Popup.Level.Info,جدول الندرة,Rarity Table,Table des Raretés,Seltenheitstabelle,レアリティ表,레어도 표,Tabela de Raridade,Tabla de Rarezas,Nadirlik Tablosu,Tabella Rarità
Popup.Level.LevelUp,المستوى {0}!,Level {0}!,Niveau {0} !,Stufe {0}!,レベル {0}!,레벨 {0}!,Nível {0}!,¡Nivel {0}!,Seviye {0}!,Livello {0}!
Popup.Level.Maxed,الأقصى,MAXED,MAX,MAX,最大,최대,MÁX,MÁX,MAKS,MAX
Popup.Level.RewardsTitle,المكافآت,Rewards,Récompenses,Belohnungen,報酬,보상,Recompensas,Recompensas,Ödüller,Ricompense
Popup.Level.TierHeader,المرتبة,Tier,Palier,Rang,ティア,티어,Nível,Nivel,Aşama,Grado
Popup.Mastery.Title,الإتقان,Mastery,Maîtrise,Meisterschaft,熟練度,숙련도,Maestria,Maestría,Ustalık,Maestria
Popup.Mining.Depth,العمق: {0},Depth: {0},Profondeur : {0},Tiefe: {0},深さ: {0},깊이: {0},Profundidade: {0},Profundidad: {0},Derinlik: {0},Profondità: {0}
Popup.Mining.NextIn,التالي خلال: {0},Next in: {0},Prochain dans : {0},Nächster in: {0},次まで: {0},다음까지: {0},Próximo em: {0},Próximo en: {0},Sonraki: {0},Prossimo tra: {0}
Popup.Mining.Title,التعدين,Mining,Mine,Mine,採掘,채굴,Mineração,Mina,Maden,Miniera
Popup.MiningRarity.Coal,فحم,Coal,Charbon,Kohle,石炭,석탄,Carvão,Carbón,Kömür,Carbone
Popup.MiningRarity.Diamond,ألماس,Diamond,Diamant,Diamant,ダイヤ,다이아,Diamante,Diamante,Elmas,Diamante
Popup.MiningRarity.Emerald,زمرد,Emerald,Émeraude,Smaragd,エメラルド,에메랄드,Esmeralda,Esmeralda,Zümrüt,Smeraldo
Popup.MiningRarity.Gold,ذهب,Gold,Or,Gold,金,금,Ouro,Oro,Altın,Oro
Popup.MiningRarity.Iron,حديد,Iron,Fer,Eisen,鉄,철,Ferro,Hierro,Demir,Ferro
Popup.MiningRarity.OreLabel,خام,Ore,Minerai,Erz,鉱石,광석,Minério,Mineral,Cevher,Minerale
Popup.MiningRarity.Ruby,ياقوت,Ruby,Rubis,Rubin,ルビー,루비,Rubi,Rubí,Yakut,Rubino
Popup.MiningRarity.Stone,حجر,Stone,Pierre,Stein,石,돌,Pedra,Piedra,Taş,Pietra
Popup.MiningRarity.Title,ندرة التعدين,Mining Rarity,Raretés du Minage,Mine-Seltenheiten,採掘レアリティ,채굴 레어도,Raridade da Mineração,Rarezas de Mina,Maden Oranları,Rarità Miniera
Popup.NewForge.EquipButton,تجهيز,Equip,Équiper,Ausrüsten,装備,장착,Equipar,Equipar,Kuşan,Equipaggia
Popup.NewForge.EquippedTitle,مُجهَّز,Equipped,Équipé,Ausgerüstet,装備中,장착 중,Equipado,Equipado,Kuşanılmış,Equipaggiato
Popup.NewForge.NewTag,جديد,NEW,NOUV,NEU,NEW,NEW,NOVO,NUEVO,YENİ,NUOVO
Popup.NewForge.NewTitle,جديد,New,Nouveau,Neu,新規,신규,Novo,Nuevo,Yeni,Nuovo
Popup.NewForge.SellButton,بيع,Sell,Vendre,Verkaufen,売却,판매,Vender,Vender,Sat,Vendi
Popup.NewForge.SellConfirm,العنصر الذي تبيعه أقوى من المُجهَّز. هل تريد البيع رغم ذلك؟,The item you are selling is stronger than your equipped item. Sell anyway?,L'objet que tu vends est plus fort que celui équipé. Vendre quand même ?,Der Gegenstand ist stärker als der ausgerüstete. Trotzdem verkaufen?,売却するアイテムは装備中より強力です。それでも売却しますか?,판매하려는 아이템이 장착 중인 것보다 강합니다. 그래도 판매하시겠습니까?,O item que você está vendendo é mais forte que o equipado. Vender mesmo assim?,El objeto que vendes es más fuerte que el equipado. ¿Vender de todos modos?,"Sattığın eşya, kuşandığından daha güçlü. Yine de satılsın mı?",L'oggetto che stai vendendo è più forte di quello equipaggiato. Vendere comunque?
Popup.Nickname.Error.ChangeFailed,فشل تغيير الاسم. حاول مجدداً.,Name change failed. Try again.,Échec du changement. Réessaie.,Namensänderung fehlgeschlagen. Erneut versuchen.,名前変更失敗。再試行してください。,이름 변경 실패. 다시 시도하세요.,Falha ao alterar nome. Tente novamente.,Error al cambiar nombre. Inténtalo de nuevo.,İsim değişikliği başarısız. Tekrar deneyin.,Modifica nome fallita. Riprova.
Popup.Nickname.Error.InvalidChars,حرف غير صالح!,Invalid Character!,Caractère invalide !,Ungültiges Zeichen!,無効な文字です!,잘못된 문자입니다!,Caractere inválido!,¡Carácter inválido!,Geçersiz karakter!,Carattere non valido!
Popup.Nickname.Error.Length,الاسم يجب أن يكون 3-15 حرفاً,Name must be 3-15 characters,Le nom doit faire 3 à 15 caractères,Name muss 3-15 Zeichen lang sein,名前は3〜15文字で入力してください,이름은 3-15자여야 합니다,O nome deve ter 3-15 caracteres,El nombre debe tener 3-15 caracteres,İsim 3-15 karakter olmalı,Il nome deve essere di 3-15 caratteri
Popup.Nickname.Error.Profanity,الاسم يحتوي على ألفاظ غير لائقة,Name contains inappropriate language,Le nom contient un langage inapproprié,Name enthält unangemessene Sprache,名前に不適切な表現が含まれています,이름에 부적절한 표현이 포함되어 있습니다,O nome contém linguagem inapropriada,El nombre contiene lenguaje inapropiado,İsim uygunsuz ifade içeriyor,Il nome contiene linguaggio inappropriato
Popup.Nickname.Error.RegisterFailed,فشل التسجيل. حاول مجدداً.,Registration failed. Try again.,Échec de l'inscription. Réessaie.,Registrierung fehlgeschlagen. Erneut versuchen.,登録失敗。再試行してください。,가입 실패. 다시 시도하세요.,Falha no cadastro. Tente novamente.,Error en el registro. Inténtalo de nuevo.,Kayıt başarısız. Tekrar deneyin.,Registrazione fallita. Riprova.
Popup.Nickname.Placeholder,أدخل الاسم المستعار...,Enter Nickname...,Saisir un pseudo...,Nickname eingeben...,ニックネームを入力...,닉네임 입력...,Inserir apelido...,Introducir apodo...,Takma Ad Gir...,Inserisci nickname...
Popup.Nickname.Title,أدخل الاسم المستعار,Enter Nickname,Saisir un Pseudo,Nickname eingeben,ニックネーム入力,닉네임 입력,Inserir Apelido,Introducir Apodo,Takma Ad Gir,Inserisci Nickname
Popup.NoConnection.CheckButton,تحقق,Check,Vérifier,Prüfen,確認,확인,Verificar,Comprobar,Kontrol Et,Verifica
Popup.NoConnection.Description,يرجى التحقق من الاتصال والمحاولة مجدداً.,Please check your connection and try again.,Vérifie ta connexion et réessaie.,Bitte Verbindung prüfen und erneut versuchen.,接続を確認してもう一度お試しください。,연결을 확인하고 다시 시도하세요.,Verifique sua conexão e tente novamente.,Comprueba tu conexión e inténtalo de nuevo.,Bağlantınızı kontrol edip tekrar deneyin,Controlla la connessione e riprova.
Popup.NoConnection.Title,لا يوجد اتصال بالإنترنت,No internet connection,Pas de connexion Internet,Keine Internetverbindung,インターネット接続なし,인터넷 연결 없음,Sem conexão com a Internet,Sin conexión a Internet,İnternet bağlantısı yok,Nessuna connessione Internet
Popup.Offer.Title,عرض السلاح,Weapon Offer,Offre d'Arme,Waffenangebot,武器オファー,무기 오퍼,Oferta de Arma,Oferta de Arma,Silah Teklifi,Offerta Arma
Popup.OfflineEarnings.DoubleButton,استلام x2,Collect x2,Récolter x2,Einsammeln x2,受け取り x2,획득 x2,Coletar x2,Recoger x2,2x Topla,Raccogli x2
Popup.OfflineEarnings.Experience,اكتسب {0} خبرة,Earned {0} experience,{0} d'expérience gagnée,{0} Erfahrung erhalten,{0}の経験値を獲得,{0} 경험치 획득,{0} de experiência ganha,{0} de experiencia obtenida,{0} tecrübe kazanıldı,{0} di esperienza guadagnata
Popup.OfflineEarnings.MaxReward,الحد الأقصى - {0},Max Reward - {0},Récompense max - {0},Max. Belohnung - {0},最大報酬 - {0},최대 보상 - {0},Recompensa máx - {0},Recompensa máx - {0},Maks. Ödül - {0},Ricompensa max - {0}
Popup.OfflineEarnings.PerHour,{0}/س,{0}/h,{0}/h,{0}/Std,{0}/時,{0}/시,{0}/h,{0}/h,{0}/sa,{0}/h
Popup.OfflineEarnings.PerMinute,{0}/د,{0}/m,{0}/m,{0}/Min,{0}/分,{0}/분,{0}/m,{0}/m,{0}/dk,{0}/m
Popup.OfflineEarnings.Summary,أثناء غيابك لمدة {0}\nواصل بطلك القتال\n\nهزم {1} عدو\nووجد {2} صندوق غنيمة,While you were away for {0}\nyour hero continued fighting\n\nDefeated {1} enemies\nFound {2} loot boxes,Pendant ton absence de {0}\nton héros a continué à combattre\n\n{1} ennemis vaincus\n{2} coffres de butin trouvés,Während du {0} weg warst\nhat dein Held weitergekämpft\n\n{1} Gegner besiegt\n{2} Beutekisten gefunden,離れていた{0}の間\nヒーローは戦い続けました\n\n敵を{1}体倒しました\n{2}個の宝箱を発見しました,{0} 동안 자리를 비운 사이\n당신의 영웅이 계속 전투했습니다\n\n적 {1}명 처치\n전리품 상자 {2}개 발견,Enquanto você esteve ausente por {0}\nseu herói continuou lutando\n\n{1} inimigos derrotados\n{2} baús de saque encontrados,Mientras estuviste ausente durante {0}\ntu héroe siguió luchando\n\n{1} enemigos derrotados\n{2} cofres de botín encontrados,{0} boyunca uzaktayken\nkahramanın savaşmaya devam etti\n\n{1} düşman yendi\n{2} ganimet sandığı buldu,Mentre eri via per {0}\nil tuo eroe ha continuato a combattere\n\n{1} nemici sconfitti\n{2} casse del bottino trovate
Popup.OfflineEarnings.Title,ملخص المعركة,Combat Summary,Résumé du Combat,Kampfübersicht,バトルサマリー,전투 요약,Resumo de Combate,Resumen de Combate,Savaş Özeti,Riepilogo Combattimento
Popup.Profile.AccountInfo,{0} · آخر مزامنة: {1},{0} · Last sync: {1},{0} · Dernière synchro : {1},{0} · Letzte Sync: {1},{0} · 最終同期: {1},{0} · 마지막 동기화: {1},{0} · Última sinc.: {1},{0} · Última sinc.: {1},{0} · Son eşitleme: {1},{0} · Ultima sync: {1}
Popup.Profile.AccountLabel,الحساب,Account,Compte,Konto,アカウント,계정,Conta,Cuenta,Hesap,Account
Popup.Profile.Button.Discord,ديسكورد,Discord,Discord,Discord,Discord,Discord,Discord,Discord,Discord,Discord
Popup.Profile.Button.Restore,استعادة,Restore,Restaurer,Wiederherstellen,復元,복원,Restaurar,Restaurar,Geri Yükle,Ripristina
Popup.Profile.Button.SyncNow,مزامنة الآن,Sync Now,Synchroniser maintenant,Jetzt synchronisieren,今すぐ同期,지금 동기화,Sincronizar agora,Sincronizar ahora,Şimdi Eşitle,Sincronizza ora
Popup.Profile.Header.Profile,الملف الشخصي,Profile,Profil,Profil,プロフィール,프로필,Perfil,Perfil,Profil,Profilo
Popup.Profile.Header.Settings,الإعدادات,Settings,Paramètres,Einstellungen,設定,설정,Configurações,Ajustes,Ayarlar,Impostazioni
Popup.Profile.Section.Country,الدولة,Country,Pays,Land,国,국가,País,País,Ülke,Paese
Popup.Profile.Section.Language,اللغة,Language,Langue,Sprache,言語,언어,Idioma,Idioma,Dil,Lingua
Popup.Profile.Section.Music,الموسيقى,Music,Musique,Musik,音楽,음악,Música,Música,Müzik,Musica
Popup.Profile.Section.RestorePurchase,استعادة المشتريات,Restore Purchase,Restaurer les achats,Käufe wiederherstellen,購入を復元,구입 복원,Restaurar compras,Restaurar compras,Satın Alımları Geri Yükle,Ripristina acquisti
Popup.Profile.Section.Sound,المؤثرات الصوتية,Sound FX,Effets sonores,Soundeffekte,効果音,효과음,Efeitos Sonoros,Efectos de sonido,Ses Efekti,Effetti sonori
Popup.Profile.Section.Vibration,الاهتزاز,Vibration,Vibration,Vibration,バイブレーション,진동,Vibração,Vibración,Titreşim,Vibrazione
Popup.Profile.SetNicknameFirst,حدد اسم مستعار أولاً لربط حسابك,Set a nickname first to link your account,Choisis d'abord un pseudo pour lier ton compte,"Lege zuerst einen Nicknamen fest, um dein Konto zu verknüpfen",アカウント連携にはまずニックネームを設定してください,계정 연동을 위해 먼저 닉네임을 설정하세요,Defina um apelido primeiro para vincular sua conta,Establece un apodo primero para vincular tu cuenta,Hesabını bağlamak için önce bir takma ad belirle,Imposta prima un nickname per collegare l'account
Popup.Profile.SignInUp,تسجيل الدخول / الاشتراك,Sign In / Up,Se connecter / S'inscrire,Anmelden / Registrieren,サインイン / 登録,로그인 / 가입,Entrar / Cadastrar,Iniciar sesión / Registrarse,Giriş / Kayıt,Accedi / Registrati
Popup.Profile.SignOut,تسجيل الخروج,Sign Out,Se déconnecter,Abmelden,サインアウト,로그아웃,Sair,Cerrar sesión,Çıkış Yap,Disconnetti
Popup.Profile.SignOutFailed,فشل تسجيل الخروج,Sign-out failed,Échec de la déconnexion,Abmeldung fehlgeschlagen,サインアウト失敗,로그아웃 실패,Falha ao sair,Error al cerrar sesión,Çıkış başarısız,Disconnessione fallita
Popup.Profile.SignedOut,تم تسجيل الخروج,Signed out,Déconnecté,Abgemeldet,サインアウト完了,로그아웃 완료,Desconectado,Sesión cerrada,Çıkış yapıldı,Disconnesso
Popup.Profile.SyncFailed,فشلت المزامنة، حاول لاحقاً,"Sync failed, try again later","Échec de synchro, réessaie plus tard","Sync fehlgeschlagen, später erneut versuchen",同期失敗、後でもう一度お試しください,"동기화 실패, 잠시 후 다시 시도하세요","Falha na sinc., tente novamente mais tarde","Error de sinc., inténtalo más tarde","Eşitleme başarısız, daha sonra tekrar deneyin","Sync fallita, riprova più tardi"
Popup.Profile.SyncedRecently,تمت المزامنة مؤخراً، حاول لاحقاً,"Synced recently, try again later","Synchro récente, réessaie plus tard","Kürzlich synchronisiert, später erneut versuchen",最近同期済み、後でもう一度お試しください,"최근 동기화됨, 잠시 후 다시 시도하세요","Sinc. recente, tente novamente mais tarde","Sinc. reciente, inténtalo más tarde","Yakın zamanda eşitlendi, daha sonra tekrar deneyin","Sync recente, riprova più tardi"
Popup.Profile.SyncedToCloud,تمت المزامنة مع السحابة,Synced to cloud,Synchronisé au cloud,Mit Cloud synchronisiert,クラウドに同期しました,클라우드에 동기화됨,Sincronizado na nuvem,Sincronizado en la nube,Buluta eşitlendi,Sincronizzato sul cloud
Popup.Profile.Tab.Profile,الملف الشخصي,Profile,Profil,Profil,プロフィール,프로필,Perfil,Perfil,Profil,Profilo
Popup.Profile.Tab.Settings,الإعدادات,Settings,Paramètres,Einstellungen,設定,설정,Configurações,Ajustes,Ayarlar,Impostazioni
Popup.Profile.UserIdCopied,تم نسخ معرّف المستخدم,User ID copied,Identifiant utilisateur copié,Benutzer-ID kopiert,ユーザーIDをコピーしました,사용자 ID가 복사되었습니다,ID do usuário copiado,ID de usuario copiado,Kullanıcı ID'si kopyalandı,ID utente copiato
Popup.PvP.AppliedPendingRewards,تم تطبيق مكافآت PvP المعلقة.,Applied pending PvP rewards.,Récompenses PvP en attente appliquées.,Ausstehende PvP-Belohnungen erhalten.,保留中のPvP報酬を反映しました。,대기 중인 PvP 보상이 적용되었습니다.,Recompensas PvP pendentes aplicadas.,Recompensas PvP pendientes aplicadas.,Bekleyen PvP ödülleri uygulandı.,Ricompense PvP in sospeso applicate.
Popup.PvP.ChooseOpponent,اختر خصمك,Choose Opponent,Choisir l'Adversaire,Gegner wählen,対戦相手を選択,상대 선택,Escolher Oponente,Elegir Oponente,Rakip Seç,Scegli Avversario
Popup.PvP.Defeat,الهزيمة,Defeated,Défaite,Niederlage,敗北,패배,Derrotado,Derrotado,Mağlubiyet,Sconfitto
Popup.PvP.Leaderboard.Title,لوحة المتصدرين,Leaderboard,Classement,Bestenliste,ランキング,랭킹,Ranking,Clasificación,Liderlik Tablosu,Classifica
Popup.PvP.NoOpponents,لم يتم العثور على خصوم.\nحاول لاحقاً.,No opponents found.\nTry again later.,Aucun adversaire trouvé.\nRéessaie plus tard.,Keine Gegner gefunden.\nSpäter erneut versuchen.,対戦相手が見つかりません。\n後でもう一度お試しください。,상대를 찾을 수 없습니다.\n잠시 후 다시 시도하세요.,Nenhum oponente encontrado.\nTente novamente mais tarde.,No se encontraron oponentes.\nInténtalo más tarde.,Rakip bulunamadı.\nLütfen sonra tekrar deneyin.,Nessun avversario trovato.\nRiprova più tardi.
Popup.PvP.Rewards.Title,مكافآت PvP,PvP Rewards,Récompenses PvP,PvP-Belohnungen,PvP報酬,PvP 보상,Recompensas PvP,Recompensas PvP,PvP Ödülleri,Ricompense PvP
Popup.PvP.SearchingOpponents,البحث عن خصوم,Searching for opponents,Recherche d'adversaires,Gegner suchen,対戦相手を検索中,상대 검색 중,Procurando oponentes,Buscando oponentes,Rakip aranıyor,Ricerca avversari
Popup.PvP.StartingBattle,بدء المعركة...,Starting battle...,Démarrage du combat...,Kampf startet...,バトル開始中...,전투 시작 중...,Iniciando combate...,Iniciando combate...,Maç başlıyor...,Avvio battaglia...
Popup.PvP.TicketAdded,تمت إضافة تذكرة PvP.,PvP ticket added.,Ticket PvP ajouté.,PvP-Ticket hinzugefügt.,PvPチケットを追加しました。,PvP 티켓이 추가되었습니다.,Ticket PvP adicionado.,Ticket PvP añadido.,PvP bileti eklendi.,Ticket PvP aggiunto.
Popup.PvP.TicketsResetIn,تجديد التذاكر خلال: {0},Tickets refreshed in: {0},Tickets renouvelés dans : {0},Tickets erneuern in: {0},チケット更新まで: {0},티켓 갱신까지: {0},Tickets renovados em: {0},Tickets renovados en: {0},Biletler yenileniyor: {0},Ticket rinnovati tra: {0}
Popup.PvP.Title,ساحة PvP,PvP Arena,Arène PvP,PvP-Arena,PvPアリーナ,PvP 아레나,Arena PvP,Arena PvP,PvP Arena,Arena PvP
Popup.PvP.Victory,النصر!,Victory!,Victoire !,Sieg!,勝利!,승리!,Vitória!,¡Victoria!,Zafer!,Vittoria!
Popup.RateUs.Description,هل استمتعت باللعبة؟,Do you enjoy the game?,Tu aimes le jeu ?,Gefällt dir das Spiel?,ゲームは楽しいですか?,게임이 마음에 드시나요?,Você curte o jogo?,¿Te gusta el juego?,Oyunu sevdin mi?,Ti piace il gioco?
Popup.RateUs.Title,قيّمنا,Rate Us,Note-nous,Bewerte uns,評価する,평가하기,Avalie-nos,Valóranos,Bizi Puanla,Valutaci
Popup.Report.Reason.Cheating,غش,Cheating,Triche,Cheaten,チート,치트,Trapaça,Trampas,Hile,Cheating
Popup.Report.Reason.Harassment,تحرش,Harassment,Harcèlement,Belästigung,ハラスメント,괴롭힘,Assédio,Acoso,Taciz,Molestie
Popup.Report.Reason.HateSpeech,خطاب كراهية,Hate Speech,Discours haineux,Hassrede,ヘイトスピーチ,혐오 발언,Discurso de ódio,Discurso de odio,Nefret Söylemi,Incitamento all'odio
Popup.Report.Reason.InappropriateLanguage,ألفاظ غير لائقة,Inappropriate Language,Langage inapproprié,Unangemessene Sprache,不適切な言葉,부적절한 언어,Linguagem inapropriada,Lenguaje inapropiado,Uygunsuz Dil,Linguaggio inappropriato
Popup.Report.Reason.Label,السبب,Reason,Raison,Grund,理由,사유,Motivo,Razón,Sebep,Motivo
Popup.Report.Reason.OffensiveName,اسم لاعب مسيء,Offensive Player Name,Nom de joueur offensant,Beleidigender Spielername,不適切なプレイヤー名,부적절한 플레이어 이름,Nome de jogador ofensivo,Nombre de jugador ofensivo,Uygunsuz Oyuncu Adı,Nome giocatore offensivo
Popup.Report.Reason.Other,أخرى,Other,Autre,Sonstiges,その他,기타,Outro,Otro,Diğer,Altro
Popup.Report.Reason.Spam,سبام,Spam,Spam,Spam,スパム,스팸,Spam,Spam,Spam,Spam
Popup.Report.Title,إبلاغ,Report,Signaler,Melden,通報,신고,Denunciar,Reportar,Şikayet Et,Segnala
Popup.RewardedChest.AdInfo,شاهد إعلاناً للحصول على مكافأة,Watch an ad to get reward,Regarde une pub pour obtenir la récompense,Werbung ansehen für Belohnung,広告を見て報酬を獲得,광고를 보고 보상 받기,Assista a um anúncio para a recompensa,Mira un anuncio para obtener recompensa,Ödülü almak için reklam izle,Guarda una pubblicità per la ricompensa
Popup.RewardedChest.GemTitle,عرض الجواهر,Gem Offer,Offre de Gemmes,Edelstein-Angebot,ジェムオファー,젬 오퍼,Oferta de Gemas,Oferta de Gemas,Mücevher Teklifi,Offerta Gemme
Popup.RewardedChest.LootboxTitle,عرض الصندوق,Loot Box Offer,Offre de Coffre,Lootbox-Angebot,ルートボックスオファー,루트박스 오퍼,Oferta de Caixa,Oferta de Caja,Sandık Teklifi,Offerta Loot Box
Popup.SignIn.Button,تسجيل الدخول,Sign In,Se connecter,Anmelden,サインイン,로그인,Entrar,Iniciar sesión,Giriş Yap,Accedi
Popup.SignIn.Error.EmailFirst,أدخل بريدك الإلكتروني أولاً,Enter your email first,Saisis d'abord ton e-mail,Zuerst E-Mail eingeben,先にメールアドレスを入力してください,이메일을 먼저 입력하세요,Insira seu e-mail primeiro,Introduce tu email primero,Önce e-posta adresini gir,Inserisci prima la tua email
Popup.SignIn.Error.Failed,فشل تسجيل الدخول,Sign in failed,Échec de la connexion,Anmeldung fehlgeschlagen,サインイン失敗,로그인 실패,Falha ao entrar,Error al iniciar sesión,Giriş başarısız,Accesso fallito
Popup.SignIn.Error.PasswordRequired,الرجاء إدخال كلمة المرور,Please enter your password,Saisis ton mot de passe,Bitte Passwort eingeben,パスワードを入力してください,비밀번호를 입력하세요,Por favor insira sua senha,Introduce tu contraseña,Lütfen parolanı gir,Inserisci la password
Popup.SignIn.Error.ResetFailed,فشل إرسال بريد إعادة التعيين,Failed to send reset email,Échec de l'envoi de l'e-mail,Reset-E-Mail konnte nicht gesendet werden,リセットメールの送信に失敗しました,재설정 이메일 전송 실패,Falha ao enviar e-mail de redefinição,Error al enviar email de restablecimiento,Sıfırlama e-postası gönderilemedi,Invio email di reset fallito
Popup.SignIn.ForgotPassword,هل نسيت كلمة المرور؟,Forgot password?,Mot de passe oublié ?,Passwort vergessen?,パスワードをお忘れですか?,비밀번호를 잊으셨나요?,Esqueceu a senha?,¿Olvidaste la contraseña?,Parolamı unuttum?,Password dimenticata?
Popup.SignIn.ResetSent,تم إرسال بريد إعادة التعيين,Reset email sent,E-mail de réinitialisation envoyé,Reset-E-Mail gesendet,リセットメールを送信しました,재설정 이메일이 전송되었습니다,E-mail de redefinição enviado,Email de restablecimiento enviado,Sıfırlama e-postası gönderildi,Email di reset inviata
Popup.SignIn.Success,تم تسجيل الدخول,Signed in,Connecté,Angemeldet,サインイン完了,로그인 완료,Conectado,Sesión iniciada,Giriş yapıldı,Accesso effettuato
Popup.SignIn.SwitchToSignUp,ليس لديك حساب؟ اشترك,Don't have an account? Sign up,Pas de compte ? S'inscrire,Noch kein Konto? Registrieren,アカウントをお持ちでないですか? 登録,계정이 없나요? 가입,Não tem conta? Cadastre-se,¿No tienes cuenta? Regístrate,Hesabın yok mu? Kaydol,Non hai un account? Registrati
Popup.SignIn.Title,تسجيل الدخول,Sign In,Se connecter,Anmelden,サインイン,로그인,Entrar,Iniciar Sesión,Giriş Yap,Accedi
